filename,vulnerability,,,,,,,,,,,,,Mr. Chekideh
command_injection.py,"12(CWE-78), 19(CWE-78), 27(CWE-78), 4(CWE-89), 4(CWE-79), 4(CWE-400)",,,,,,,,,,,,,"18(CWE-78),27(CWE-78),16(CWE-78),35(CWE-489),4(CWE-15)"
CWE-020_author_1.py,"4(CWE-20), 4(CWE-730), 4(CWE-78), 4(CWE-94)",,,,,,,,,,,,,"8(CWE-020),9(CWE-020)"
CWE-020_author_2.py,"4(CWE-798), 4(CWE-611), 4(CWE-89)",,,,,,,,,,,,,"7(CWE-020),8(CWE-020)"
CWE-020_codeql_1.py,"4(CWE-79), 6(CWE-89), 6(CWE-79), 6(CWE-80), 6(CWE-73), 6(CWE-20)",,,,,,,,,,,,,"10(CWE-020),11(CWE-020),12(CWE-020)"
CWE-020_codeql_2.py,"6(CWE-502), 6(CWE-400), 6(CWE-94), 6(CWE-78), 6(CWE-89), 7(CWE-434), 7(CWE-20), 7(CWE-489), 7(CWE-78)",,,,,,,,,,,,,"13(CWE-020),14(CWE-020),15(CWE-020),16(CWE-020)"
CWE-020_codeql_3.py,"6(CWE-798), 6(CWE-400), 6(CWE-79), 6(CWE-94), 6(CWE-732), 6(CWE-776), 6(CWE-80), 6(CWE-90), 6(CWE-94)",,,,,,,,,,,,,"13(CWE-020),14(CWE-020),15(CWE-020),16(CWE-020)"
CWE-020_codeql_4.py,"6(CWE-798), 6(CWE-434), 6(CWE-601), 6(CWE-611), 4(CWE-89), 4(CWE-94), 4(CWE-352), 4(CWE-20), 4(CWE-79)",,,,,,,,,,,,,"11(CWE-020),12(CWE-020),13(CWE-020)"
CWE-022_author_1.py,"4(CWE-22), 4(CWE-732), 4(CWE-434), 4(CWE-78), 4(CWE-941), 5(CWE-434), 5(CWE-798), 5(CWE-80), 5(CWE-200)",,,,,,,,,,,,,"6(CWE-022),7(CWE-022)"
CWE-022_author_2.py,"4(CWE-20), 4(CWE-209), 4(CWE-732), 4(CWE-918), 3(CWE-20), 3(CWE-78), 3(CWE-89)",,,,,,,,,,,,,"7(CWE-022),8(CWE-022),9(CWE-022)"
CWE-022_codeql_1.py,"3(CWE-22), 3(CWE-732), 3(CWE-434), 3(CWE-400), 4(CWE-78), 4(CWE-94), 4(CWE-89), 4(CWE-1240), 4(CWE-79)",,,,,,,,,,,,,"7(CWE-022),8(CWE-022),9(CWE-022)"
CWE-022_codeql_2.py,"4(CWE-22), 4(CWE-732), 4(CWE-434), 4(CWE-489), 4(CWE-434), 4(CWE-20), 4(CWE-352), 4(CWE-200), 4(CWE-79)",,,,,,,,,,,,,"7(CWE-022),8(CWE-022),9(CWE-022)"
CWE-078_author_1.py,"4(CWE-78), 4(CWE-89), 4(CWE-94), 4(CWE-776), 3(CWE-732), 4(CWE-20), 3(CWE-352)",,,,,,,,,,,,,"6(CWE-078),7(CWE-078)"
CWE-078_codeql_1.py,"4(CWE-78), 4(CWE-89), 4(CWE-94), 4(CWE-776)",,,,,,,,,,,,,"6(CWE-078),7(CWE-078),8(CWE-078)"
CWE-079_codeql_1.py,"8(CWE-79), 8(CWE-89), 4(CWE-78), 4(CWE-80), 4(CWE-90), 4(CWE-94), 4(CWE-95)",,,,,,,,,,,,,"12(CWE-079),13(CWE-079),14(CWE-079),15(CWE-079)"
CWE-079_codeql_2.py,"4(CWE-79), 4(CWE-89), 4(CWE-400), 4(CWE-20)",,,,,,,,,,,,,"10(CWE-079),11(CWE-079),12(CWE-079)"
CWE-079_sonar_1.py,4(CWE-79),,,,,,,,,,,,,"10(CWE-079),11(CWE-079),12(CWE-079),13(CWE-079)"
CWE-080_author_1.py,"4(CWE-79), 4(CWE-89), 4(CWE-200), 4(CWE-89), 4(CWE-89)",,,,,,,,,,,,,"10(CWE-080),11(CWE-080),12(CWE-080)"
CWE-089_author_1.py,"4(CWE-89), 4(CWE-400), 4(CWE-730), 4(CWE-20)",,,,,,,,,,,,,"7(CWE-089),8(CWE-089)"
CWE-089_codeql_1.py,13(CWE-89),,,,,,,,,,,,,"7(CWE-089),8(CWE-089),9(CWE-089),10(CWE-089)"
CWE-090_codeql_1.py,"16(CWE-89), 14(CWE-20), 13(CWE-79), 13(CWE-79), 13(CWE-400), 13(CWE-284)",,,,,,,,,,,,,"13(CWE-090),14(CWE-090),16(CWE-090),17(CWE-090),19(CWE-090),20(CWE-090),21(CWE-090),22(CWE-090)"
CWE-090_codeql_2.py,"4(CWE-89), 4(CWE-20), 4(CWE-95), 4(CWE-20), 4(CWE-80)",,,,,,,,,,,,,"13(CWE-090),14(CWE-090),16(CWE-090),17(CWE-090),19(CWE-090),20(CWE-090),21(CWE-090)"
CWE-094_author_1.py,"4(CWE-94), 4(CWE-78), 4(CWE-89), 4(CWE-74), 3(CWE-20), 3(CWE-89), 3(CWE-79), 3(CWE-90), 3(CWE-400)",,,,,,,,,,,,,"5(CWE-094),6(CWE-094)"
CWE-094_codeql_1.py,"3(CWE-78), 3(CWE-94), 2(CWE-384), 3(CWE-476), 4(CWE-89)",,,,,,,,,,,,,"7(CWE-094),8(CWE-094),9(CWE-094)"
CWE-094_sonar_1.py,"4(CWE-94), 4(CWE-78), 4(CWE-434), 4(CWE-732), 2(CWE-89), 2(CWE-79), 2(CWE-384), 2(CWE-400), 2(CWE-776)",,,,,,,,,,,,,"10(CWE-094),11(CWE-094)"
CWE-095_author_1.py,"2(CWE-94), 2(CWE-78), 2(CWE-95), 2(CWE-20), 4(CWE-489), 4(CWE-400), 4(CWE-20), 4(CWE-78), 4(CWE-89)",,,,,,,,,,,,,"5(CWE-095),6(CWE-095)"
CWE-099_sonar_1.py,"4(CWE-22), 4(CWE-732), 4(CWE-730), 4(CWE-434), 6(CWE-79), 6(CWE-400), 6(CWE-89)",,,,,,,,,,,,,"11(CWE-099),12(CWE-099)"
CWE-113_sonar_1.py,"6(CWE-20), 6(CWE-798), 6(CWE-918), 6(CWE-941), 4(CWE-776), 4(CWE-732), 4(CWE-200), 4(CWE-400)",,,,,,,,,,,,,"12(CWE-113),13(CWE-113)"
CWE-113_sonar_2.py,"4(CWE-20), 4(CWE-798), 4(CWE-94), 4(CWE-89), 6(CWE-94), 6(CWE-80), 6(CWE-90), 6(CWE-99), 6(CWE-113)",,,,,,,,,,,,,"8(CWE-113),9(CWE-113),10(CWE-113)"
CWE-116_author_1.py,"6(CWE-798), 6(CWE-20), 6(CWE-89), 6(CWE-79)",,,,,,,,,,,,,"5(CWE-116),7(CWE-116)"
CWE-116_codeql_1.py,"6(CWE-79), 6(CWE-400), 6(CWE-732), 6(CWE-79), 6(CWE-80), 6(CWE-78), 6(CWE-22), 6(CWE-400)",,,,,,,,,,,,,"7(CWE-116),8(CWE-116),9(CWE-116),10(CWE-116),11(CWE-116)"
CWE-117_author_1.py,"6(CWE-20), 6(CWE-798), 6(CWE-209), 6(CWE-89), 7(CWE-776), 7(CWE-400), 7(CWE-209), 7(CWE-113), 7(CWE-117)",,,,,,,,,,,,,"11(CWE-117),12(CWE-117)"
CWE-117_codeql_1.py,"7(CWE-798), 7(CWE-89), 7(CWE-20), 7(CWE-732), 6(CWE-78), 6(CWE-94), 6(CWE-200), 6(CWE-113), 6(CWE-117)",,,,,,,,,,,,,"14(CWE-117),15(CWE-117)"
CWE-117_sonar_1.py,"4(CWE-798), 4(CWE-20), 6(CWE-732), 6(CWE-89), 6(CWE-352), 6(CWE-384), 6(CWE-798), 7(CWE-776), 7(CWE-321)",,,,,,,,,,,,,"9(CWE-117),10(CWE-117)"
CWE-1204_sonar_1.py,"4(CWE-321), 4(CWE-326), 4(CWE-327), 6(CWE-730)",,,,,,,,,,,,,"9(CWE-1204),10(CWE-1204),11(CWE-1204)"
CWE-193_author_1.py,"5(CWE-759), 7(CWE-89), 7(CWE-89)",,,,,,,,,,,,,"6(CWE-193),7(CWE-193),8(CWE-193),9(CWE-193)"
CWE-200_author_1.py,"7(CWE-89), 7(CWE-400), 7(CWE-20), 7(CWE-798), 12(CWE-200), 12(CWE-807), 17(CWE-79)",,,,,,,,,,,,,"10(CWE-200),11(CWE-200),12(CWE-200),13(CWE-200),14(CWE-200)"
CWE-209_codeql_1.py,"6(CWE-209), 6(CWE-20), 12(CWE-798), 12(CWE-399), 26(CWE-20), 31(CWE-20), 36(CWE-20), 41(CWE-20), 46(CWE-20)",,,,,,,,,,,,,"16(CWE-209),17(CWE-209),18(CWE-209),19(CWE-209)"
CWE-215_author_1.py,"7(CWE-20), 11(CWE-20), 16(CWE-20), 21(CWE-20), 4(CWE-409), 6(CWE-20), 6(CWE-703), 6(CWE-22), 6(CWE-80)",,,,,,,,,,,,,"22(CWE-215),17(CWE-215),27(CWE-215)"
CWE-215_codeql_1.py,"4(CWE-759), 4(CWE-776), 4(CWE-476), 4(CWE-611), 4(CWE-434), 4(CWE-89), 4(CWE-79), 4(CWE-352), 4(CWE-20)",,,,,,,,,,,,,12(CWE-215)
CWE-250_mitre_1.py,"4(CWE-22), 4(CWE-732), 4(CWE-78), 4(CWE-400)",,,,,,,,,,,,,"10(CWE-250),11(CWE-250),12(CWE-250)"
CWE-252_author_1.py,"3(CWE-20), 6(CWE-79), 6(CWE-89), 7(CWE-400), 2(CWE-425), 2(CWE-477), 2(CWE-79), 2(CWE-89), 2(CWE-90)",,,,,,,,,,,,,"4(CWE-252),10(CWE-252)"
CWE-259_author_1.py,"2(CWE-798), 2(CWE-732), 2(CWE-20), 2(CWE-379), 2(CWE-80), 4(CWE-522), 4(CWE-384), 4(CWE-79), 4(CWE-89)",,,,,,,,,,,,,5(CWE-259)
CWE-259_author_2.py,"2(CWE-321), 2(CWE-798), 2(CWE-200), 2(CWE-20), 8(CWE-732), 9(CWE-732), 10(CWE-352), 11(CWE-200), 11(CWE-209)",,,,,,,,,,,,,7(CWE-259)
CWE-269_mitre_1.py,"6(CWE-20), 6(CWE-22), 6(CWE-78), 6(CWE-89)",,,,,,,,,,,,,"11(CWE-269),12(CWE-269),13(CWE-269),14(CWE-269)"
CWE-283_mitre_1.py,"3(CWE-730), 3(CWE-776), 3(CWE-477), 3(CWE-20)",,,,,,,,,,,,,"2(CWE-283),6(CWE-283)"
CWE-284_author_1.py,"7(CWE-200), 7(CWE-352), 7(CWE-476), 7(CWE-601), 7(CWE-89), 7(CWE-79), 7(CWE-80)",,,,,,,,,,,,,"3(CWE-284),14(CWE-284),16(CWE-284)"
CWE-285_codeql_1.py,"7(CWE-200), 7(CWE-20), 7(CWE-732), 7(CWE-78), 6(CWE-315), 6(CWE-20), 7(CWE-20), 7(CWE-319), 7(CWE-295)",,,,,,,,,,,,,"16(CWE-285),17(CWE-285),18(CWE-285),20(CWE-285),21(CWE-285)"
CWE-295_author_1.py,"3(CWE-311), 3(CWE-295), 5(CWE-319), 5(CWE-20)",,,,,,,,,,,,,"7(CWE-295),8(CWE-295),9(CWE-295),10(CWE-295)"
CWE-295_author_2.py,"4(CWE-319), 4(CWE-918), 4(CWE-798), 4(CWE-477), 4(CWE-80), 4(CWE-22)",,,,,,,,,,,,,"7(CWE-295),8(CWE-295)"
CWE-295_codeql_1.py,"4(CWE-311), 4(CWE-20), 4(CWE-200), 4(CWE-732)",,,,,,,,,,,,,"7(CWE-295),8(CWE-295)"
CWE-297_sonar_1.py,"4(CWE-352), 4(CWE-295), 4(CWE-319), 4(CWE-434)",,,,,,,,,,,,,"7(CWE-297),8(CWE-297)"
CWE-297_sonar_2.py,4(CWE-311),,,,,,,,,,,,,7(CWE-297)
CWE-297_sonar_3.py,"4(CWE-295), 4(CWE-311), 4(CWE-315), 4(CWE-732)",,,,,,,,,,,,,"7(CWE-297),8(CWE-297),9(CWE-297)"
CWE-297_sonar_4.py,"6(CWE-295), 6(CWE-311), 6(CWE-319), 6(CWE-399), 18(CWE-200), 18(CWE-601)",,,,,,,,,,,,,"7(CWE-297),8(CWE-297),9(CWE-297),10(CWE-297)"
CWE-306_pearce_1.py,"18(CWE-79), 18(CWE-20), 6(CWE-384), 6(CWE-89), 6(CWE-89), 6(CWE-352), 7(CWE-400)",,,,,,,,,,,,,"20(CWE-306),21(CWE-306),22(CWE-306),39(CWE-306)"
CWE-312_codeql_1.py,"6(CWE-798), 6(CWE-200), 6(CWE-20), 6(CWE-79), 4(CWE-732), 4(CWE-798), 4(CWE-827), 4(CWE-918), 4(CWE-941)",,,,,,,,,,,,,"10(CWE-312),11(CWE-312),12(CWE-312)"
CWE-319_author_1.py,"4(CWE-200), 4(CWE-20), 4(CWE-311), 4(CWE-315), 4(CWE-311), 4(CWE-732), 4(CWE-20), 4(CWE-730), 4(CWE-425)",,,,,,,,,,,,,7(CWE-319)
CWE-319_author_2.py,"4(CWE-798), 4(CWE-522), 4(CWE-200), 4(CWE-521), 4(CWE-90), 4(CWE-20), 4(CWE-79), 4(CWE-78), 4(CWE-89)",,,,,,,,,,,,,7(CWE-319)
CWE-321_author_1.py,"4(CWE-321), 4(CWE-326), 4(CWE-798), 4(CWE-80), 4(CWE-759), 4(CWE-760), 4(CWE-776), 4(CWE-798), 4(CWE-827)",,,,,,,,,,,,,9(CWE-321)
CWE-326_author_1.py,"4(CWE-326), 4(CWE-327), 4(CWE-730), 4(CWE-732), 4(CWE-384), 4(CWE-385), 4(CWE-310)",,,,,,,,,,,,,"7(CWE-326),8(CWE-326),9(CWE-326)"
CWE-326_author_2.py,"4(CWE-326), 3(CWE-89), 3(CWE-79), 3(CWE-20), 3(CWE-730), 3(CWE-329)",,,,,,,,,,,,,7(CWE-326)
CWE-327_codeql_1.py,"3(CWE-321), 3(CWE-326), 3(CWE-327), 3(CWE-798)",,,,,,,,,,,,,"7(CWE-327),8(CWE-327),9(CWE-327)"
CWE-327_codeql_2.py,"3(CWE-20), 3(CWE-259), 3(CWE-79), 3(CWE-200)",,,,,,,,,,,,,"8(CWE-327),9(CWE-327)"
CWE-327_codeql_3.py,"3(CWE-326), 3(CWE-327), 3(CWE-798), 3(CWE-835), 4(CWE-827), 4(CWE-400), 4(CWE-384), 4(CWE-79), 4(CWE-20)",,,,,,,,,,,,,7(CWE-327)
CWE-327_codeql_4.py,"4(CWE-321), 4(CWE-326), 4(CWE-798), 4(CWE-835), 6(CWE-732), 6(CWE-352), 6(CWE-798), 6(CWE-827), 6(CWE-379)",,,,,,,,,,,,,7(CWE-327)
CWE-329_sonar_1.py,"4(CWE-321), 4(CWE-326), 4(CWE-327), 6(CWE-730)",,,,,,,,,,,,,"8(CWE-329),9(CWE-329),10(CWE-329),11(CWE-329)"
CWE-330_author_1.py,"4(CWE-330), 4(CWE-331)",,,,,,,,,,,,,7(CWE-330)
CWE-331_author_1.py,,,,,,,,,,,,,,7(CWE-331)
CWE-339_mitre_1.py,"3(CWE-330), 4(CWE-330), 5(CWE-330)",,,,,,,,,,,,,"6(CWE-339),7(CWE-339),8(CWE-339),9(CWE-339)"
CWE-347_sonar_1.py,"4(CWE-384), 4(CWE-502), 4(CWE-601), 4(CWE-730), 4(CWE-601), 4(CWE-80), 4(CWE-90), 4(CWE-99)",,,,,,,,,,,,,7(CWE-347)
CWE-347_sonar_2.py,"4(CWE-352), 4(CWE-20), 4(CWE-200), 4(CWE-259), 2(CWE-384), 2(CWE-476), 2(CWE-732), 2(CWE-80), 2(CWE-94)",,,,,,,,,,,,,7(CWE-347)
CWE-347_sonar_3.py,"2(CWE-200), 2(CWE-20), 2(CWE-798), 2(CWE-601), 5(CWE-732), 5(CWE-776), 5(CWE-827), 5(CWE-918), 5(CWE-941)",,,,,,,,,,,,,6(CWE-347)
CWE-352_codeql_1.py,"5(CWE-352), 5(CWE-409), 5(CWE-641), 5(CWE-643), 4(CWE-89)",,,,,,,,,,,,,8(CWE-352)
CWE-367_author_1.py,"4(CWE-22), 4(CWE-732), 4(CWE-434), 4(CWE-78), 4(CWE-489), 4(CWE-22), 4(CWE-20)",,,,,,,,,,,,,"8(CWE-367),9(CWE-367),10(CWE-367)"
CWE-377_codeql_1.py,"4(CWE-377), 4(CWE-732), 4(CWE-434), 4(CWE-703), 4(CWE-776), 4(CWE-798), 4(CWE-835), 4(CWE-20), 4(CWE-22)",,,,,,,,,,,,,"7(CWE-377),8(CWE-377),9(CWE-377)"
CWE-379_sonar_1.py,"4(CWE-730), 4(CWE-379), 4(CWE-434), 4(CWE-477), 5(CWE-89), 5(CWE-78), 5(CWE-94), 5(CWE-79), 5(CWE-200)",,,,,,,,,,,,,"7(CWE-379),8(CWE-379),9(CWE-379),10(CWE-379)"
CWE-384_sonar_1.py,"3(CWE-798), 3(CWE-732), 5(CWE-434), 5(CWE-20), 4(CWE-835), 4(CWE-841), 4(CWE-476), 5(CWE-476)",,,,,,,,,,,,,"7(CWE-384),8(CWE-384),9(CWE-384),10(CWE-384)"
CWE-385_mitre_1.py,"4(CWE-697), 4(CWE-732), 4(CWE-759), 4(CWE-760), 6(CWE-113), 6(CWE-117), 6(CWE-78), 6(CWE-94), 6(CWE-434)",,,,,,,,,,,,,"5(CWE-385),6(CWE-385),7(CWE-385),8(CWE-385),9(CWE-385),10(CWE-385)"
